product_name,price,quantity,date_updated
Bagel - Whole White Sesame,$4.30,97,01/11/2018
Sauce - Caesar Dressing,$8.05,81,28/12/2018
Shiratamako - Rice Flour,$7.99,71,07/03/2018
Tart - Raisin And Pecan,$1.06,86,18/01/2019
Radish,$2.47,22,06/11/2018
Juice - V8 Splash,$1.25,67,10/01/2018
Red Currants,$6.77,49,01/10/2018
Soup - Base Broth Beef,$5.44,62,09/03/2019
Tomatoes Tear Drop Yellow,$6.4,73,09/02/2019
Mussels - Cultivated,$9.34,24,31/07/2018
"Bread - Crumbs, Bulk",$4.49,88,12/01/2019
"Beans - Long, Chinese",$4.73,47,22/09/2018
"Beans - Navy, Dry",$4.60,44,20/01/2018
Juice - V8 Splash,$1.15,67,13/01/2018
"Basil - Dry, Rubbed",$8.69,21,04/02/2018
Apple - Granny Smith,$5.06,72,12/01/2018
"Lid - High Heat, Super Clear",$1.23,5,09/02/2018
Oranges - Navel,$4.78,46,06/06/2018
Berry Brulee,$7.59,50,25/08/2018
Lobster - Canned Premium,$7.61,57,15/04/2018
Sauce - Caesar Dressing,$8.25,16,10/04/2019
Ham - Procutinni,$5.70,8,09/01/2019
Veal - Ground,$7.67,5,19/12/2018
Oil - Cooking Spray,$4.20,6,11/06/2018
"Extract - Vanilla,artificial",$2.91,20,08/06/2018
"Mushroom - Porcini, Dry",$8.14,71,26/07/2018
Wine - Chateau Bonnet,$7.41,54,10/03/2018
spoon,$5.50,67,10/07/2020
fork,$1.49,5,10/07/2020
